Updated On,State,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Total Individuals Vaccinated
25-02-2021,Andaman and Nicobar Islands,5867,1896,3103,2764,0,0,5867,Null,Null,Null,Null,Null,5867
26-02-2021,Andaman and Nicobar Islands,6029,1960,3205,2824,0,0,6029,Null,Null,Null,Null,Null,6029
27-02-2021,Andaman and Nicobar Islands,6029,1960,3205,2824,0,0,6029,Null,Null,Null,Null,Null,6029
28-02-2021,Andaman and Nicobar Islands,6029,1960,3205,2824,0,0,6029,Null,Null,Null,Null,Null,6029
01-03-2021,Andaman and Nicobar Islands,6029,1960,3205,2824,0,0,6029,Null,Null,Null,Null,Null,6029
02-03-2021,Andaman and Nicobar Islands,6638,2086,3630,3008,0,0,6638,Null,Null,Null,Null,Null,6638
03-03-2021,Andaman and Nicobar Islands,6749,2088,3721,3028,0,0,6749,Null,Null,Null,Null,Null,6749
04-03-2021,Andaman and Nicobar Islands,7266,2095,4133,3133,0,0,7266,Null,Null,Null,Null,Null,7266
05-03-2021,Andaman and Nicobar Islands,7799,2098,4559,3240,0,0,7799,Null,Null,Null,Null,Null,7799
06-03-2021,Andaman and Nicobar Islands,8288,2210,4915,3373,0,0,8288,Null,Null,Null,Null,Null,8288
07-03-2021,Andaman and Nicobar Islands,8848,2253,5251,3597,0,0,8848,Null,Null,Null,Null,Null,8848
08-03-2021,Andaman and Nicobar Islands,9629,2375,5872,3757,0,0,9629,Null,Null,Null,Null,Null,9629
09-03-2021,Andaman and Nicobar Islands,7542,2390,6068,3864,0,0,9932,Null,Null,Null,Null,Null,9932
10-03-2021,Andaman and Nicobar Islands,7735,2426,6211,3950,0,0,10161,Null,Null,Null,Null,Null,10161
11-03-2021,Andaman and Nicobar Islands,8218,2486,6591,4113,0,0,10704,Null,Null,Null,Null,Null,10704
12-03-2021,Andaman and Nicobar Islands,8735,2586,6977,4344,0,0,11321,Null,Null,Null,Null,Null,11321
13-03-2021,Andaman and Nicobar Islands,8899,2739,7188,4450,0,0,11638,Null,Null,Null,Null,Null,11638
14-03-2021,Andaman and Nicobar Islands,8926,2767,7218,4475,0,0,11693,Null,Null,Null,Null,Null,11693
15-03-2021,Andaman and Nicobar Islands,9202,2843,7401,4644,0,0,12045,Null,Null,Null,Null,Null,12045
16-03-2021,Andaman and Nicobar Islands,11950,2876,7391,4559,0,0,14826,Null,1,4663,6173,1111,11950
17-03-2021,Andaman and Nicobar Islands,12509,2980,7719,4790,0,0,15489,Null,1,4682,6280,1544,12509
18-03-2021,Andaman and Nicobar Islands,12948,3183,7962,4986,0,0,16131,Null,1,4717,6352,1876,12948
19-03-2021,Andaman and Nicobar Islands,13293,3319,8148,5145,0,0,16612,Null,1,4748,6478,2064,13293
20-03-2021,Andaman and Nicobar Islands,13852,3599,8440,5412,0,0,17451,Null,1,4806,6660,2383,13852
21-03-2021,Andaman and Nicobar Islands,13868,3610,8449,5419,0,0,17478,Null,1,4809,6669,2387,13868
22-03-2021,Andaman and Nicobar Islands,14327,3758,8706,5621,0,0,18085,Null,1,4839,6756,2729,14327
23-03-2021,Andaman and Nicobar Islands,15017,4104,9055,5962,0,0,19121,Null,1,4915,7009,3090,15017
24-03-2021,Andaman and Nicobar Islands,15247,4446,9159,6088,0,0,19693,Null,1,4936,7062,3246,15247
25-03-2021,Andaman and Nicobar Islands,15652,4666,9355,6297,0,0,20318,Null,1,4966,7169,3515,15652
26-03-2021,Andaman and Nicobar Islands,15933,4856,9518,6415,0,0,20789,Null,1,5005,7252,3674,15933
27-03-2021,Andaman and Nicobar Islands,16292,5064,9709,6583,0,0,21356,Null,1,5036,7360,3894,16292
28-03-2021,Andaman and Nicobar Islands,16293,5065,9710,6583,0,0,21358,Null,1,5036,7361,3894,16293
29-03-2021,Andaman and Nicobar Islands,16292,5065,9709,6583,0,0,21357,Null,1,5036,7360,3894,16292
30-03-2021,Andaman and Nicobar Islands,16701,5139,9939,6762,0,0,21840,Null,1,5070,7465,4164,16701
31-03-2021,Andaman and Nicobar Islands,16798,5140,9989,6809,0,0,21938,Null,1,5076,7495,4225,16798
01-04-2021,Andaman and Nicobar Islands,17435,5173,10347,7088,0,0,22608,Null,1,5123,7806,4504,17435
02-04-2021,Andaman and Nicobar Islands,17559,5179,10407,7152,0,0,22738,Null,1,5131,7901,4525,17559
03-04-2021,Andaman and Nicobar Islands,17998,5223,10633,7365,0,0,23221,Null,1,5147,8153,4696,17998
04-04-2021,Andaman and Nicobar Islands,18677,5224,10996,7681,0,0,23901,Null,1,5165,8580,4930,18677
05-04-2021,Andaman and Nicobar Islands,19499,5275,11437,8062,0,0,24774,Null,1,5171,9040,5286,19499
06-04-2021,Andaman and Nicobar Islands,20445,5321,11897,8548,0,0,25766,Null,1,5179,9556,5708,20445
07-04-2021,Andaman and Nicobar Islands,22631,5347,12986,9645,0,0,27978,Null,1,5191,10861,6577,22631
08-04-2021,Andaman and Nicobar Islands,25363,5403,14405,10957,1,0,30766,Null,1,5196,12522,7643,25363
09-04-2021,Andaman and Nicobar Islands,27698,5519,15582,12115,1,0,33217,Null,1,5209,13951,8536,27698
10-04-2021,Andaman and Nicobar Islands,29863,5570,16690,13172,1,0,35433,Null,1,5221,15264,9376,29863
11-04-2021,Andaman and Nicobar Islands,32012,5612,17866,14145,1,0,37624,Null,1,5234,16701,10075,32012
12-04-2021,Andaman and Nicobar Islands,36572,5713,20175,16392,5,0,42285,Null,1,5259,19448,11863,36572
13-04-2021,Andaman and Nicobar Islands,43013,5832,23433,19575,5,0,48845,Null,1,5287,23593,14131,43013
14-04-2021,Andaman and Nicobar Islands,49654,5941,26959,22690,5,0,55595,Null,1,5307,28136,16209,49654
15-04-2021,Andaman and Nicobar Islands,54778,6079,29685,25088,5,0,60857,Null,1,5347,31563,17866,54778
16-04-2021,Andaman and Nicobar Islands,61339,6323,33196,28138,5,0,67662,Null,1,5382,36179,19776,61339
17-04-2021,Andaman and Nicobar Islands,67451,6568,36435,31010,6,0,74019,Null,1,5456,40346,21647,67451
18-04-2021,Andaman and Nicobar Islands,71275,6878,38500,32769,6,0,78153,Null,1,5515,43012,22746,71275
19-04-2021,Andaman and Nicobar Islands,75675,7353,40893,34776,6,0,83028,Null,1,5598,45987,24088,75675
20-04-2021,Andaman and Nicobar Islands,78973,7937,42718,36248,7,0,86910,Null,1,5687,48255,25029,78973
21-04-2021,Andaman and Nicobar Islands,80901,8171,43818,37076,7,0,89072,Null,1,5736,49621,25542,80901
22-04-2021,Andaman and Nicobar Islands,83233,8600,45145,38081,7,0,91833,Null,1,5815,51167,26249,83233
23-04-2021,Andaman and Nicobar Islands,85201,8965,46215,38978,8,0,94166,Null,1,5878,52529,26791,85201
24-04-2021,Andaman and Nicobar Islands,86796,9297,47109,39679,8,0,96093,Null,1,5926,53689,27178,86796
25-04-2021,Andaman and Nicobar Islands,87865,9527,47711,40146,8,0,97392,Null,1,5945,54478,27439,87865
26-04-2021,Andaman and Nicobar Islands,89290,9819,48496,40786,8,0,99109,Null,1,5977,55456,27854,89290
27-04-2021,Andaman and Nicobar Islands,90454,10117,49116,41330,8,0,100571,Null,1,8547,53714,28190,90454
28-04-2021,Andaman and Nicobar Islands,91394,10376,49622,41764,8,0,101770,Null,1,8579,54314,28497,91394
29-04-2021,Andaman and Nicobar Islands,92417,10581,50235,42174,8,0,102998,Null,1,8621,55029,28766,92417
30-04-2021,Andaman and Nicobar Islands,93493,10881,50804,42681,8,0,104374,Null,1,8674,55730,29087,93493
01-05-2021,Andaman and Nicobar Islands,94002,11088,51106,42888,8,0,105090,Null,1,8713,56069,29218,94002
02-05-2021,Andaman and Nicobar Islands,94125,11160,51165,42952,8,0,105285,Null,1,8729,56119,29276,94125
03-05-2021,Andaman and Nicobar Islands,94633,11617,51480,43145,8,0,106250,Null,1,8782,56479,29371,94633
04-05-2021,Andaman and Nicobar Islands,95064,11954,51742,43314,8,0,107018,Null,1,8863,56745,29455,95064
05-05-2021,Andaman and Nicobar Islands,95500,12455,51982,43510,8,0,107955,Null,1,8938,56994,29567,95500
06-05-2021,Andaman and Nicobar Islands,96229,12831,52233,43988,8,0,109060,Null,1,9286,57252,29690,96229
07-05-2021,Andaman and Nicobar Islands,96970,13191,52490,44472,8,0,110161,Null,1,9680,57516,29773,96970
08-05-2021,Andaman and Nicobar Islands,97639,13529,52749,44882,8,0,111168,Null,1,9913,57886,29839,97639
09-05-2021,Andaman and Nicobar Islands,97748,13537,52760,44980,8,0,111285,Null,1,10016,57892,29839,97748
10-05-2021,Andaman and Nicobar Islands,98439,13964,53054,45377,8,0,112403,Null,1,10195,58235,30008,98439
11-05-2021,Andaman and Nicobar Islands,98845,14174,53254,45583,8,0,113019,Null,2,10278,58473,30093,98845
12-05-2021,Andaman and Nicobar Islands,99218,14404,53438,45772,8,0,113622,Null,2,10368,58695,30154,99218
13-05-2021,Andaman and Nicobar Islands,99602,14798,53657,45937,8,0,114400,Null,2,10404,58947,30249,99602
14-05-2021,Andaman and Nicobar Islands,99690,14808,53698,45984,8,0,114498,Null,2,10410,59027,30251,99690
15-05-2021,Andaman and Nicobar Islands,100058,15130,53903,46147,8,0,115188,Null,2,10447,59293,30316,100058
16-05-2021,Andaman and Nicobar Islands,100058,15130,53903,46147,8,0,115188,Null,2,10447,59293,30316,100058
17-05-2021,Andaman and Nicobar Islands,100492,15135,54080,46403,9,0,115627,Null,2,10560,59534,30396,100492
18-05-2021,Andaman and Nicobar Islands,100773,15138,54206,46558,9,0,115911,Null,2,10633,59702,30436,100773
19-05-2021,Andaman and Nicobar Islands,101277,15150,54473,46795,9,0,116427,Null,2,10987,59814,30474,101277
20-05-2021,Andaman and Nicobar Islands,102027,15153,54922,47096,9,0,117180,Null,2,11598,59923,30504,102027
21-05-2021,Andaman and Nicobar Islands,102795,15155,55368,47418,9,0,117950,0,2,12260,60008,30525,102795
22-05-2021,Andaman and Nicobar Islands,103605,15156,55814,47782,9,0,118761,0,2,12932,60115,30556,103605
23-05-2021,Andaman and Nicobar Islands,103988,15156,55995,47984,9,0,119144,0,2,13301,60127,30558,103988
24-05-2021,Andaman and Nicobar Islands,104439,15156,56243,48187,9,0,119595,0,2,13733,60143,30561,104439
25-05-2021,Andaman and Nicobar Islands,105124,15158,56625,48490,9,0,120282,0,2,14372,60185,30565,105124
26-05-2021,Andaman and Nicobar Islands,105933,15158,57048,48876,9,0,121091,0,3,15161,60203,30567,105933
27-05-2021,Andaman and Nicobar Islands,106548,15161,57379,49160,9,0,121709,0,3,15726,60233,30586,106548
28-05-2021,Andaman and Nicobar Islands,107304,15162,57843,49452,9,0,122466,0,3,16412,60293,30596,107304
29-05-2021,Andaman and Nicobar Islands,108317,15166,58415,49893,9,0,123483,0,3,17279,60410,30625,108317
30-05-2021,Andaman and Nicobar Islands,108559,15166,58529,50021,9,0,123725,0,3,17521,60410,30625,108559
31-05-2021,Andaman and Nicobar Islands,109087,15181,58809,50269,9,0,124268,0,3,17959,60483,30642,109087
01-06-2021,Andaman and Nicobar Islands,109821,15186,59205,50607,9,0,125007,0,3,18639,60525,30654,109821
02-06-2021,Andaman and Nicobar Islands,110323,15191,59440,50874,9,0,125514,0,3,19072,60581,30667,110323
03-06-2021,Andaman and Nicobar Islands,111001,15199,59832,51160,9,0,126200,0,3,19638,60670,30690,111001
04-06-2021,Andaman and Nicobar Islands,111506,15207,60106,51391,9,0,126713,0,3,20079,60724,30700,111506
05-06-2021,Andaman and Nicobar Islands,111971,15223,60338,51624,9,0,127194,0,3,20476,60777,30715,111971
06-06-2021,Andaman and Nicobar Islands,111979,15223,60343,51627,9,0,127202,0,3,20484,60777,30715,111979
07-06-2021,Andaman and Nicobar Islands,112507,15252,60589,51909,9,0,127759,0,3,20944,60828,30732,112507
08-06-2021,Andaman and Nicobar Islands,112917,15278,60801,52107,9,0,128195,0,3,21285,60887,30742,112917
09-06-2021,Andaman and Nicobar Islands,113207,15291,60959,52239,9,0,128498,0,3,21525,60930,30749,113207
10-06-2021,Andaman and Nicobar Islands,114098,15304,61439,52650,9,0,129402,0,3,22365,60971,30759,114098
11-06-2021,Andaman and Nicobar Islands,114850,15323,61799,53042,9,0,130173,0,3,23043,61029,30774,114850
12-06-2021,Andaman and Nicobar Islands,115708,15352,62236,53463,9,0,131060,0,3,23841,61078,30785,115708
13-06-2021,Andaman and Nicobar Islands,115711,15352,62237,53465,9,0,131063,0,3,23843,61079,30785,115711
14-06-2021,Andaman and Nicobar Islands,116632,15372,62734,53889,9,0,132004,0,3,24693,61132,30803,116632
15-06-2021,Andaman and Nicobar Islands,117545,15394,63246,54290,9,0,132939,0,3,25524,61193,30824,117545
16-06-2021,Andaman and Nicobar Islands,118511,15420,63789,54713,9,0,133931,0,3,26423,61247,30837,118511
17-06-2021,Andaman and Nicobar Islands,119448,15449,64313,55126,9,0,134897,0,3,27266,61325,30853,119448
18-06-2021,Andaman and Nicobar Islands,120382,15468,64799,55574,9,0,135850,0,3,28148,61365,30865,120382
19-06-2021,Andaman and Nicobar Islands,121201,15506,65192,56000,9,0,136707,0,3,28909,61413,30875,121201
20-06-2021,Andaman and Nicobar Islands,121202,15506,65192,56001,9,0,136708,0,3,28910,61413,30875,121202
21-06-2021,Andaman and Nicobar Islands,121964,15531,65593,56362,9,0,137495,0,3,29585,61478,30897,121964
22-06-2021,Andaman and Nicobar Islands,124729,15567,67079,57641,9,0,140296,0,3,32184,61613,30928,124729
23-06-2021,Andaman and Nicobar Islands,128630,15604,69052,59569,9,0,144234,0,3,35991,61688,30943,128630
24-06-2021,Andaman and Nicobar Islands,133533,15785,71670,61850,13,0,149318,0,3,40711,61834,30979,133533
25-06-2021,Andaman and Nicobar Islands,138254,15846,83794,70292,14,0,154100,0,3,Null,Null,Null,Null
26-06-2021,Andaman and Nicobar Islands,143329,16301,86798,72815,17,0,159630,0,3,Null,Null,Null,Null
27-06-2021,Andaman and Nicobar Islands,145019,16306,87680,73628,17,0,161325,0,3,Null,Null,Null,Null
28-06-2021,Andaman and Nicobar Islands,148486,17435,90044,75860,17,0,165921,0,3,Null,Null,Null,Null
29-06-2021,Andaman and Nicobar Islands,153048,18542,92908,78665,17,0,171590,0,3,Null,Null,Null,Null
30-06-2021,Andaman and Nicobar Islands,156470,19823,95310,80964,19,0,176293,0,3,Null,Null,Null,Null
01-07-2021,Andaman and Nicobar Islands,157304,21198,96483,82000,19,0,178502,0,3,Null,Null,Null,Null
02-07-2021,Andaman and Nicobar Islands,158335,22886,97867,83335,19,0,181221,0,3,Null,Null,Null,Null
03-07-2021,Andaman and Nicobar Islands,159330,24773,99370,84714,19,0,184103,0,3,Null,Null,Null,Null
04-07-2021,Andaman and Nicobar Islands,159342,25173,99619,84877,19,0,184515,0,3,Null,Null,Null,Null
05-07-2021,Andaman and Nicobar Islands,160292,29136,102139,87269,20,0,189428,0,3,Null,Null,Null,Null
06-07-2021,Andaman and Nicobar Islands,161400,35075,105638,90816,21,0,196475,0,3,Null,Null,Null,Null
07-07-2021,Andaman and Nicobar Islands,162373,40492,108926,93918,21,0,202865,0,3,Null,Null,Null,Null
08-07-2021,Andaman and Nicobar Islands,163284,45310,111944,96629,21,0,208594,0,3,Null,Null,Null,Null
09-07-2021,Andaman and Nicobar Islands,164079,51646,115730,99973,22,0,215725,0,3,Null,Null,Null,Null
10-07-2021,Andaman and Nicobar Islands,166096,56487,119313,103248,22,0,222583,0,3,Null,Null,Null,Null
11-07-2021,Andaman and Nicobar Islands,166343,56716,119576,103460,23,0,223059,0,3,Null,Null,Null,Null
12-07-2021,Andaman and Nicobar Islands,168328,62122,123510,106914,26,0,230450,0,3,Null,Null,Null,Null
13-07-2021,Andaman and Nicobar Islands,170392,66253,126867,109752,26,0,236645,0,5,Null,Null,Null,Null
14-07-2021,Andaman and Nicobar Islands,177013,69656,132184,114458,27,0,246669,0,5,Null,Null,Null,Null
15-07-2021,Andaman and Nicobar Islands,178771,72376,134612,116508,27,0,251147,0,5,Null,Null,Null,Null
16-07-2021,Andaman and Nicobar Islands,179879,74935,136529,118257,28,0,254814,0,5,Null,Null,Null,Null
17-07-2021,Andaman and Nicobar Islands,180673,77198,138169,119673,29,0,257871,0,5,Null,Null,Null,Null
18-07-2021,Andaman and Nicobar Islands,180805,77305,138291,119790,29,0,258110,0,5,Null,Null,Null,Null
19-07-2021,Andaman and Nicobar Islands,181725,79534,140027,121202,30,0,261259,0,5,Null,Null,Null,Null
20-07-2021,Andaman and Nicobar Islands,184157,81542,142402,123266,31,0,265699,0,5,Null,Null,Null,Null
21-07-2021,Andaman and Nicobar Islands,184160,81594,142431,123292,31,0,265754,0,5,Null,Null,Null,Null
22-07-2021,Andaman and Nicobar Islands,187006,83658,145064,125569,31,0,270664,0,5,Null,Null,Null,Null
23-07-2021,Andaman and Nicobar Islands,190151,85226,147525,127820,32,0,275377,0,5,Null,Null,Null,Null
24-07-2021,Andaman and Nicobar Islands,192718,86477,149484,129677,34,0,279195,0,5,Null,Null,Null,Null
25-07-2021,Andaman and Nicobar Islands,193281,86558,149816,129989,34,0,279839,0,5,Null,Null,Null,Null
26-07-2021,Andaman and Nicobar Islands,195082,87884,151417,131514,35,0,282966,0,5,Null,Null,Null,Null
27-07-2021,Andaman and Nicobar Islands,197991,88865,153481,133340,35,0,286856,0,5,Null,Null,Null,Null
28-07-2021,Andaman and Nicobar Islands,201244,89557,155413,135352,36,0,290801,0,5,Null,Null,Null,Null
29-07-2021,Andaman and Nicobar Islands,203975,90223,157098,137064,36,0,294198,0,5,Null,Null,Null,Null
30-07-2021,Andaman and Nicobar Islands,206031,90865,158438,138421,37,0,296896,0,5,Null,Null,Null,Null
31-07-2021,Andaman and Nicobar Islands,207419,91550,159508,139424,37,0,298969,0,5,Null,Null,Null,Null
01-08-2021,Andaman and Nicobar Islands,209737,91630,160772,140557,38,0,301367,0,5,Null,Null,Null,Null
02-08-2021,Andaman and Nicobar Islands,210578,92148,161454,141234,38,0,302726,0,5,Null,Null,Null,Null
03-08-2021,Andaman and Nicobar Islands,211561,92581,162185,141919,38,0,304142,0,5,Null,Null,Null,Null
04-08-2021,Andaman and Nicobar Islands,212571,93158,163008,142682,39,0,305729,0,5,Null,Null,Null,Null
05-08-2021,Andaman and Nicobar Islands,213457,93557,163740,143234,40,0,307014,0,5,Null,Null,Null,Null
06-08-2021,Andaman and Nicobar Islands,214333,93844,164339,143798,40,0,308177,0,5,Null,Null,Null,Null
07-08-2021,Andaman and Nicobar Islands,215021,94249,164868,144362,40,0,309270,0,5,Null,Null,Null,Null
08-08-2021,Andaman and Nicobar Islands,215077,94272,164902,144407,40,0,309349,0,5,Null,Null,Null,Null
09-08-2021,Andaman and Nicobar Islands,216046,94597,165554,145049,40,0,310643,0,5,Null,Null,Null,Null
16-01-2021,Andhra Pradesh,4216,0,857,3359,0,0,4216,Null,Null,Null,Null,Null,4216
17-01-2021,Andhra Pradesh,9251,0,1876,7374,1,0,9251,Null,Null,Null,Null,Null,9251
18-01-2021,Andhra Pradesh,12234,0,2974,9260,0,0,12234,Null,Null,Null,Null,Null,12234
19-01-2021,Andhra Pradesh,25539,0,9564,15975,0,0,25539,Null,Null,Null,Null,Null,25539
20-01-2021,Andhra Pradesh,35901,0,10940,24961,0,135,35766,Null,Null,Null,Null,Null,35901
21-01-2021,Andhra Pradesh,45040,0,12812,32228,0,395,44645,Null,Null,Null,Null,Null,45040
22-01-2021,Andhra Pradesh,55697,0,15918,39779,0,573,55124,Null,Null,Null,Null,Null,55697
23-01-2021,Andhra Pradesh,70380,0,20177,50203,0,947,69433,Null,Null,Null,Null,Null,70380
24-01-2021,Andhra Pradesh,74221,0,20948,53272,1,1087,73134,Null,Null,Null,Null,Null,74221
25-01-2021,Andhra Pradesh,89879,0,25497,64381,1,1984,87895,Null,Null,Null,Null,Null,89879
26-01-2021,Andhra Pradesh,90616,0,25689,64926,1,1995,88621,Null,Null,Null,Null,Null,90616
27-01-2021,Andhra Pradesh,107999,0,31152,76840,7,3166,104833,Null,Null,Null,Null,Null,107999
28-01-2021,Andhra Pradesh,117543,0,34950,82580,13,4631,112912,Null,Null,Null,Null,Null,117543
29-01-2021,Andhra Pradesh,124647,0,37524,87110,13,5812,118835,Null,Null,Null,Null,Null,124647
30-01-2021,Andhra Pradesh,133571,0,40740,92814,17,7925,125646,Null,Null,Null,Null,Null,133571
31-01-2021,Andhra Pradesh,133623,0,40757,92849,17,7925,125698,Null,Null,Null,Null,Null,133623
01-02-2021,Andhra Pradesh,133642,0,40763,92862,17,7925,125717,Null,Null,Null,Null,Null,133642
02-02-2021,Andhra Pradesh,133646,0,40765,92864,17,7925,125721,Null,Null,Null,Null,Null,133646
03-02-2021,Andhra Pradesh,161302,0,56129,105152,21,10893,150409,Null,Null,Null,Null,Null,161302
04-02-2021,Andhra Pradesh,188704,0,72231,116449,24,13959,174745,Null,Null,Null,Null,Null,188704
05-02-2021,Andhra Pradesh,218899,0,90167,128708,24,17464,201435,Null,Null,Null,Null,Null,218899
06-02-2021,Andhra Pradesh,245938,0,105960,139953,25,20484,225454,Null,Null,Null,Null,Null,245938
07-02-2021,Andhra Pradesh,249205,0,108137,141043,25,20627,228578,Null,Null,Null,Null,Null,249205
08-02-2021,Andhra Pradesh,263588,0,116724,146839,25,23315,240273,Null,Null,Null,Null,Null,263588
09-02-2021,Andhra Pradesh,275654,0,124433,151194,27,26245,249409,Null,Null,Null,Null,Null,275654
10-02-2021,Andhra Pradesh,286401,0,131060,155314,27,29230,257171,Null,Null,Null,Null,Null,286401
11-02-2021,Andhra Pradesh,294574,0,135823,158721,30,31656,262918,Null,Null,Null,Null,Null,294574
12-02-2021,Andhra Pradesh,303031,0,140600,162400,31,33536,269495,Null,Null,Null,Null,Null,303031
13-02-2021,Andhra Pradesh,313507,6233,144054,169422,31,34633,278874,Null,Null,Null,Null,Null,313507
14-02-2021,Andhra Pradesh,313509,6234,144055,169423,31,34634,278875,Null,Null,Null,Null,Null,313509
15-02-2021,Andhra Pradesh,329041,16789,148538,180470,33,35388,293653,Null,Null,Null,Null,Null,329041
16-02-2021,Andhra Pradesh,344146,26734,153041,191072,33,36414,307732,Null,Null,Null,Null,Null,344146
17-02-2021,Andhra Pradesh,364844,38007,160016,204789,39,37477,327367,Null,Null,Null,Null,Null,364844
18-02-2021,Andhra Pradesh,359785,54253,160812,198938,35,38015,321770,Null,Null,Null,Null,Null,359785
19-02-2021,Andhra Pradesh,403279,73226,174122,229118,39,39850,363429,Null,Null,Null,Null,Null,403279
20-02-2021,Andhra Pradesh,413818,87470,179244,234535,39,41060,372758,Null,Null,Null,Null,Null,413818
21-02-2021,Andhra Pradesh,418634,90410,181302,237293,39,41740,376894,Null,Null,Null,Null,Null,418634
